Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time(in seconds)
1,UCS,NA,6,124,0.04
1,GBFS,h1,6,44,0.02
1,GBFS,h2,6,44,0.01
1,GBFS,h3,6,44,0.02
1,GBFS,h4,6,44,0.02
1,A,h1,6,119,0.05
1,A,h2,6,119,0.05
1,A,h3,6,44,0.02
1,A,h4,6,44,0.02
2,UCS,NA,8,924,0.93
2,GBFS,h1,8,195,0.22
2,GBFS,h2,8,195,0.16
2,GBFS,h3,8,195,0.18
2,GBFS,h4,8,195,0.16
2,A,h1,8,924,0.82
2,A,h2,8,924,0.85
2,A,h3,8,195,0.14
2,A,h4,8,278,0.22
3,UCS,NA,10,626,0.33
3,GBFS,h1,10,307,0.17
3,GBFS,h2,10,307,0.16
3,GBFS,h3,10,307,0.16
3,GBFS,h4,10,307,0.18
3,A,h1,10,546,0.29
3,A,h2,10,546,0.31
3,A,h3,10,305,0.16
3,A,h4,10,318,0.16
4,UCS,NA,16,523,0.19
4,GBFS,h1,17,218,0.1
4,GBFS,h2,17,218,0.08
4,GBFS,h3,17,218,0.08
4,GBFS,h4,17,218,0.08
4,A,h1,16,393,0.15
4,A,h2,16,393,0.15
4,A,h3,17,226,0.08
4,A,h4,17,238,0.09
5,UCS,NA,10,370,0.16
5,GBFS,h1,10,79,0.03
5,GBFS,h2,10,79,0.03
5,GBFS,h3,10,79,0.03
5,GBFS,h4,10,79,0.03
5,A,h1,10,272,0.1
5,A,h2,10,272,0.11
5,A,h3,10,79,0.03
5,A,h4,10,143,0.05
6,UCS,NA,14,2515,4.2
6,GBFS,h1,14,298,0.39
6,GBFS,h2,14,298,0.41
6,GBFS,h3,14,298,0.74
6,GBFS,h4,14,298,0.4
6,A,h1,14,1903,2.9
6,A,h2,14,1903,3.04
6,A,h3,14,423,0.47
6,A,h4,14,812,0.73
7,UCS,NA,9,1649,2.79
7,GBFS,h1,9,39,0.04
7,GBFS,h2,9,39,0.03
7,GBFS,h3,9,39,0.04
7,GBFS,h4,9,39,0.03
7,A,h1,9,1084,2.02
7,A,h2,9,1084,2
7,A,h3,9,39,0.03
7,A,h4,9,55,0.04
8,UCS,NA,17,1215,0.82
8,GBFS,h1,18,218,0.09
8,GBFS,h2,18,218,0.09
8,GBFS,h3,18,218,0.1
8,GBFS,h4,18,218,0.12
8,A,h1,17,1103,1.06
8,A,h2,17,1103,0.89
8,A,h3,19,516,0.35
8,A,h4,17,654,0.46
9,UCS,NA,5,78,0.04
9,GBFS,h1,5,15,0
9,GBFS,h2,5,15,0.01
9,GBFS,h3,5,15,0
9,GBFS,h4,5,15,0
9,A,h1,5,49,0.02
9,A,h2,5,49,0.03
9,A,h3,5,15,0.01
9,A,h4,5,15,0.01
10,UCS,NA,9,189,0.05
10,GBFS,h1,9,145,0.04
10,GBFS,h2,9,145,0.04
10,GBFS,h3,9,145,0.05
10,GBFS,h4,9,145,0.05
10,A,h1,9,185,0.06
10,A,h2,9,185,0.05
10,A,h3,9,145,0.04
10,A,h4,9,145,0.05
11,UCS,NA,10,99,0.03
11,GBFS,h1,10,41,0.01
11,GBFS,h2,10,41,0.01
11,GBFS,h3,10,41,0.01
11,GBFS,h4,10,41,0.01
11,A,h1,10,96,0.03
11,A,h2,10,96,0.03
11,A,h3,10,41,0.01
11,A,h4,10,45,0.01
12,UCS,NA,11,1923,3.67
12,GBFS,h1,11,54,0.03
12,GBFS,h2,11,54,0.03
12,GBFS,h3,11,54,0.03
12,GBFS,h4,11,54,0.03
12,A,h1,11,1005,1.61
12,A,h2,11,1005,1.56
12,A,h3,11,54,0.03
12,A,h4,11,100,0.05
13,UCS,NA,8,44,0.01
13,GBFS,h1,8,34,0.01
13,GBFS,h2,8,34,0.01
13,GBFS,h3,8,34,0.01
13,GBFS,h4,8,34,0.01
13,A,h1,8,43,0.01
13,A,h2,8,43,0.01
13,A,h3,8,34,0.01
13,A,h4,8,34,0.01
14,UCS,NA,8,168,0.06
14,GBFS,h1,8,49,0.02
14,GBFS,h2,8,49,0.02
14,GBFS,h3,8,49,0.02
14,GBFS,h4,8,49,0.02
14,A,h1,8,160,0.06
14,A,h2,8,160,0.07
14,A,h3,8,49,0.02
14,A,h4,8,53,0.02
15,UCS,NA,11,242,0.08
15,GBFS,h1,12,73,0.02
15,GBFS,h2,12,73,0.03
15,GBFS,h3,12,73,0.03
15,GBFS,h4,12,73,0.02
15,A,h1,11,228,0.07
15,A,h2,11,228,0.07
15,A,h3,12,89,0.03
15,A,h4,11,163,0.05
16,UCS,NA,11,1095,0.81
16,GBFS,h1,11,260,0.17
16,GBFS,h2,11,260,0.16
16,GBFS,h3,11,260,0.17
16,GBFS,h4,11,260,0.17
16,A,h1,11,882,0.65
16,A,h2,11,882,0.64
16,A,h3,11,378,0.27
16,A,h4,11,410,0.27
17,UCS,NA,17,4313,5.77
17,GBFS,h1,17,1793,4.13
17,GBFS,h2,17,1793,4.24
17,GBFS,h3,17,1793,4.15
17,GBFS,h4,17,1793,4.23
17,A,h1,17,3770,5.89
17,A,h2,17,3770,5.79
17,A,h3,17,2093,4.85
17,A,h4,17,2706,4.97
18,UCS,NA,11,1733,2.18
18,GBFS,h1,11,140,0.08
18,GBFS,h2,11,140,0.09
18,GBFS,h3,11,140,0.09
18,GBFS,h4,11,140,0.09
18,A,h1,11,1665,2.26
18,A,h2,11,1665,2.28
18,A,h3,11,140,0.09
18,A,h4,11,354,0.28
19,UCS,NA,13,629,0.24
19,GBFS,h1,13,413,0.19
19,GBFS,h2,13,413,0.2
19,GBFS,h3,13,413,0.2
19,GBFS,h4,13,413,0.23
19,A,h1,13,538,0.23
19,A,h2,13,538,0.25
19,A,h3,13,416,0.19
19,A,h4,14,435,0.2
20,UCS,NA,16,588,0.28
20,GBFS,h1,16,493,0.23
20,GBFS,h2,16,493,0.23
20,GBFS,h3,16,493,0.24
20,GBFS,h4,16,493,0.25
20,A,h1,16,595,0.29
20,A,h2,16,595,0.29
20,A,h3,16,493,0.22
20,A,h4,16,493,0.25
21,UCS,NA,11,4209,12.18
21,GBFS,h1,13,232,0.22
21,GBFS,h2,13,232,0.24
21,GBFS,h3,13,232,0.24
21,GBFS,h4,13,232,0.24
21,A,h1,11,3163,10.69
21,A,h2,11,3163,10.65
21,A,h3,13,258,0.28
21,A,h4,11,489,0.8
22,UCS,NA,9,333,0.14
22,GBFS,h1,9,54,0.03
22,GBFS,h2,9,54,0.03
22,GBFS,h3,9,54,0.03
22,GBFS,h4,9,54,0.03
22,A,h1,9,316,0.17
22,A,h2,9,316,0.17
22,A,h3,9,54,0.03
22,A,h4,9,123,0.07
23,UCS,NA,11,120,0.03
23,GBFS,h1,11,40,0.01
23,GBFS,h2,11,40,0.01
23,GBFS,h3,11,40,0.01
23,GBFS,h4,11,40,0.01
23,A,h1,11,106,0.02
23,A,h2,11,106,0.03
23,A,h3,11,40,0.01
23,A,h4,11,70,0.02
24,UCS,NA,8,1397,1.79
24,GBFS,h1,8,258,0.26
24,GBFS,h2,8,258,0.23
24,GBFS,h3,8,258,0.23
24,GBFS,h4,8,258,0.25
24,A,h1,8,1204,1.78
24,A,h2,8,1204,1.72
24,A,h3,8,258,0.24
24,A,h4,8,398,0.48
25,UCS,NA,11,3042,6.77
25,GBFS,h1,11,41,0.02
25,GBFS,h2,11,41,0.02
25,GBFS,h3,11,41,0.03
25,GBFS,h4,11,41,0.03
25,A,h1,11,1747,3.89
25,A,h2,11,1747,3.89
25,A,h3,11,41,0.03
25,A,h4,11,82,0.06
26,UCS,NA,7,291,0.12
26,GBFS,h1,7,175,0.07
26,GBFS,h2,7,175,0.07
26,GBFS,h3,7,175,0.07
26,GBFS,h4,7,175,0.08
26,A,h1,7,245,0.11
26,A,h2,7,245,0.13
26,A,h3,7,175,0.08
26,A,h4,7,175,0.08
27,UCS,NA,12,1451,1.09
27,GBFS,h1,12,473,0.32
27,GBFS,h2,12,473,0.33
27,GBFS,h3,12,473,0.32
27,GBFS,h4,12,473,0.32
27,A,h1,12,1382,1.12
27,A,h2,12,1382,1.13
27,A,h3,12,488,0.37
27,A,h4,12,705,0.51
28,UCS,NA,17,1066,0.54
28,GBFS,h1,18,578,0.35
28,GBFS,h2,18,578,0.36
28,GBFS,h3,18,578,0.38
28,GBFS,h4,18,578,0.36
28,A,h1,17,938,0.55
28,A,h2,17,938,0.56
28,A,h3,18,590,0.37
28,A,h4,18,703,0.48
29,UCS,NA,17,472,0.16
29,GBFS,h1,17,332,0.12
29,GBFS,h2,17,332,0.13
29,GBFS,h3,17,332,0.12
29,GBFS,h4,17,332,0.15
29,A,h1,17,453,0.17
29,A,h2,17,453,0.17
29,A,h3,17,331,0.13
29,A,h4,17,390,0.16
30,UCS,NA,12,1840,3.59
30,GBFS,h1,12,69,0.04
30,GBFS,h2,12,69,0.04
30,GBFS,h3,12,69,0.04
30,GBFS,h4,12,69,0.04
30,A,h1,12,1019,1.56
30,A,h2,12,1019,1.63
30,A,h3,12,69,0.04
30,A,h4,12,130,0.07
31,UCS,NA,12,604,0.28
31,GBFS,h1,12,273,0.12
31,GBFS,h2,12,273,0.11
31,GBFS,h3,12,273,0.12
31,GBFS,h4,12,273,0.14
31,A,h1,12,568,0.27
31,A,h2,12,568,0.27
31,A,h3,12,265,0.11
31,A,h4,12,275,0.12
32,UCS,NA,12,313,0.1
32,GBFS,h1,13,107,0.04
32,GBFS,h2,13,107,0.04
32,GBFS,h3,13,107,0.05
32,GBFS,h4,13,107,0.04
32,A,h1,12,289,0.1
32,A,h2,12,289,0.11
32,A,h3,13,154,0.06
32,A,h4,12,249,0.09
33,UCS,NA,11,716,0.32
33,GBFS,h1,11,134,0.05
33,GBFS,h2,11,134,0.05
33,GBFS,h3,11,134,0.05
33,GBFS,h4,11,134,0.05
33,A,h1,11,712,0.35
33,A,h2,11,712,0.37
33,A,h3,11,136,0.05
33,A,h4,11,485,0.3
34,UCS,NA,9,487,0.23
34,GBFS,h1,9,266,0.11
34,GBFS,h2,9,266,0.11
34,GBFS,h3,9,266,0.12
34,GBFS,h4,9,266,0.12
34,A,h1,9,450,0.23
34,A,h2,9,450,0.22
34,A,h3,9,266,0.12
34,A,h4,9,266,0.13
35,UCS,NA,7,223,0.11
35,GBFS,h1,8,18,0
35,GBFS,h2,8,18,0.01
35,GBFS,h3,8,18,0.01
35,GBFS,h4,8,18,0.01
35,A,h1,7,109,0.04
35,A,h2,7,109,0.04
35,A,h3,8,18,0.01
35,A,h4,7,33,0.01
36,UCS,NA,6,346,0.22
36,GBFS,h1,6,21,0.01
36,GBFS,h2,6,21,0.01
36,GBFS,h3,6,21,0.01
36,GBFS,h4,6,21,0.01
36,A,h1,6,253,0.17
36,A,h2,6,253,0.16
36,A,h3,6,21,0.01
36,A,h4,6,24,0.01
37,UCS,NA,11,985,0.74
37,GBFS,h1,11,87,0.05
37,GBFS,h2,11,87,0.04
37,GBFS,h3,11,87,0.04
37,GBFS,h4,11,87,0.04
37,A,h1,11,711,0.55
37,A,h2,11,711,0.61
37,A,h3,11,95,0.05
37,A,h4,11,217,0.12
38,UCS,NA,13,1661,1.23
38,GBFS,h1,13,355,0.42
38,GBFS,h2,13,355,0.4
38,GBFS,h3,13,355,0.41
38,GBFS,h4,13,355,0.4
38,A,h1,13,1488,1.27
38,A,h2,13,1488,1.25
38,A,h3,13,437,0.51
38,A,h4,13,1048,1.16
39,UCS,NA,12,274,0.1
39,GBFS,h1,12,92,0.04
39,GBFS,h2,12,92,0.03
39,GBFS,h3,12,92,0.04
39,GBFS,h4,12,92,0.04
39,A,h1,12,248,0.11
39,A,h2,12,248,0.11
39,A,h3,12,110,0.04
39,A,h4,12,124,0.05
40,UCS,NA,7,88,0.02
40,GBFS,h1,7,63,0.02
40,GBFS,h2,7,63,0.02
40,GBFS,h3,7,63,0.02
40,GBFS,h4,7,63,0.02
40,A,h1,7,79,0.02
40,A,h2,7,79,0.02
40,A,h3,7,63,0.02
40,A,h4,7,63,0.02
41,UCS,NA,10,2086,3.45
41,GBFS,h1,10,254,0.28
41,GBFS,h2,10,254,0.27
41,GBFS,h3,10,254,0.27
41,GBFS,h4,10,254,0.29
41,A,h1,10,1626,2.92
41,A,h2,10,1626,2.92
41,A,h3,10,256,0.31
41,A,h4,10,451,0.55
42,UCS,NA,8,143,0.04
42,GBFS,h1,8,116,0.04
42,GBFS,h2,8,116,0.04
42,GBFS,h3,8,116,0.04
42,GBFS,h4,8,116,0.04
42,A,h1,8,135,0.05
42,A,h2,8,135,0.05
42,A,h3,8,116,0.04
42,A,h4,8,116,0.04
43,UCS,NA,13,633,0.29
43,GBFS,h1,13,262,0.13
43,GBFS,h2,13,262,0.13
43,GBFS,h3,13,262,0.13
43,GBFS,h4,13,262,0.14
43,A,h1,13,534,0.25
43,A,h2,13,534,0.25
43,A,h3,13,260,0.13
43,A,h4,13,362,0.18
44,UCS,NA,18,578,0.22
44,GBFS,h1,20,265,0.09
44,GBFS,h2,20,265,0.08
44,GBFS,h3,20,265,0.09
44,GBFS,h4,20,265,0.09
44,A,h1,18,449,0.18
44,A,h2,18,449,0.19
44,A,h3,21,265,0.09
44,A,h4,18,255,0.1
45,UCS,NA,9,259,0.09
45,GBFS,h1,10,41,0.01
45,GBFS,h2,10,41,0.01
45,GBFS,h3,10,41,0.02
45,GBFS,h4,10,41,0.02
45,A,h1,9,257,0.1
45,A,h2,9,257,0.11
45,A,h3,10,41,0.02
45,A,h4,10,161,0.07
46,UCS,NA,10,1400,1.25
46,GBFS,h1,10,480,0.54
46,GBFS,h2,10,480,0.54
46,GBFS,h3,10,480,0.56
46,GBFS,h4,10,480,0.54
46,A,h1,10,1280,1.16
46,A,h2,10,1280,1.2
46,A,h3,10,488,0.53
46,A,h4,10,813,0.9
47,UCS,NA,12,812,0.42
47,GBFS,h1,12,173,0.08
47,GBFS,h2,12,173,0.08
47,GBFS,h3,12,173,0.08
47,GBFS,h4,12,173,0.09
47,A,h1,12,809,0.44
47,A,h2,12,809,0.45
47,A,h3,12,196,0.09
47,A,h4,12,545,0.34
48,UCS,NA,13,811,0.45
48,GBFS,h1,14,288,0.14
48,GBFS,h2,14,288,0.14
48,GBFS,h3,14,288,0.14
48,GBFS,h4,14,288,0.14
48,A,h1,13,798,0.48
48,A,h2,13,798,0.47
48,A,h3,14,288,0.14
48,A,h4,14,495,0.31
49,UCS,NA,10,187,0.06
49,GBFS,h1,10,44,0.01
49,GBFS,h2,10,44,0.02
49,GBFS,h3,10,44,0.02
49,GBFS,h4,10,44,0.01
49,A,h1,10,146,0.05
49,A,h2,10,146,0.05
49,A,h3,10,45,0.01
49,A,h4,10,84,0.03
50,UCS,NA,9,174,0.04
50,GBFS,h1,9,66,0.02
50,GBFS,h2,9,66,0.02
50,GBFS,h3,9,66,0.02
50,GBFS,h4,9,66,0.02
50,A,h1,9,134,0.04
50,A,h2,9,134,0.04
50,A,h3,9,66,0.02
50,A,h4,10,67,0.02
